Town,Price,Amount of Rooms,Surface Area,Floor/Floors,Type,Sale/Rent
Tallinn,"469 900 € 5 414 €/m²
Kuumakse 2 164 €",3,86.8 m²,2/3,Apartment,For Sale
Tallinn,"489 900 € 4 756 €/m²
Kuumakse 2 256 €",4,103 m²,2/3,Apartment,For Sale
Tallinn,"529 900 € 6 183 €/m²
Kuumakse 2 441 €",3,85.7 m²,3/7,Apartment,For Sale
Tallinn,"289 900 € 5 429 €/m²
Kuumakse 1 335 €",2,53.4 m²,3/7,Apartment,For Sale
Tallinn,"279 000 € 4 359 €/m²
Kuumakse 1 285 €",3,64 m²,2/13,Apartment,For Sale
Tallinn,"329 900 € 6 296 €/m²
Kuumakse 1 519 €",2,52.4 m²,1/3,Apartment,For Sale
Tallinn,"289 900 € 4 573 €/m²
Kuumakse 1 335 €",3,63.4 m²,11/16,Apartment,For Sale
Tallinn,"249 900 € 3 821 €/m²
Kuumakse 1 151 €",3,65.4 m²,10/16,Apartment,For Sale
Tallinn,"329 900 € 4 284 €/m²
Kuumakse 1 519 €",3,77 m²,12/16,Apartment,For Sale
Tallinn,"699 900 € 5 686 €/m²
Kuumakse 3 223 €",3,123.1 m²,2/3,Apartment,For Sale
Tallinn,"357 599 € 3 951 €/m²
Kuumakse 1 647 €",4,90.5 m²,1/4,Apartment,For Sale
Tallinn,"490 290 € 6 183 €/m²
Kuumakse 2 258 €",4,79.3 m²,2/4,Apartment,For Sale
Tallinn,"Uus hind
322 450 € 4 728 €/m²
Kuumakse 1 485 €
332 450 €",3,68.2 m²,2/4,Apartment,For Sale
Tallinn,"Uus hind
322 449 € 4 728 €/m²
Kuumakse 1 485 €
332 450 €",4,68.2 m²,2/4,Apartment,For Sale
Tallinn,"299 900 € 3 820 €/m²
Kuumakse 1 381 €",4,78.5 m²,9/16,Apartment,For Sale
Tallinn,"196 000 € 2 943 €/m²
Kuumakse 903 €",3,66.6 m²,2/4,Apartment,For Sale
Tallinn,"372 842 € 4 586 €/m²
Kuumakse 1 717 €",3,81.3 m²,3/4,Apartment,For Sale
Tallinn,"285 000 € 5 144 €/m²
Kuumakse 1 313 €",2,55.4 m²,1/5,Apartment,For Sale
Tallinn,"387 350 € 4 866 €/m²
Kuumakse 1 784 €",4,79.6 m²,4/4,Apartment,For Sale
Tallinn,"184 990 € 4 512 €/m²
Kuumakse 852 €",2,41 m²,8/9,Apartment,For Sale
Tallinn,"264 990 € 4 344 €/m²
Kuumakse 1 220 €",3,61 m²,4/9,Apartment,For Sale
Narva,"199 900 € 3 337 €/m²
Kuumakse 921 €",2,59.9 m²,4/4,Apartment,For Sale
Tallinn,"144 900 € 2 578 €/m²
Kuumakse 667 €",3,56.2 m²,1/5,Apartment,For Sale
Tallinn,"129 000 € 2 448 €/m²
Kuumakse 594 €",2,52.7 m²,5/5,Apartment,For Sale
Tartu,"235 000 € 3 133 €/m²
Kuumakse 1 082 €",4,75 m²,1/4,Apartment,For Sale
Tallinn,"295 260 € 4 200 €/m²
Kuumakse 1 360 €",3,70.3 m²,1/3,Apartment,For Sale
Tallinn,"645 888 € 6 618 €/m²
Kuumakse 2 975 €",4,97.6 m²,4/4,Apartment,For Sale
